filename,replication_factor,consistency,num_keys,threads,total_errors,consistency_passed,violations
fuzz_rf3_linearizable_keys140_threads64.log,3,linearizable,140,64,0,True,0
fuzz_rf3_linearizable_keys140_threads8.log,3,linearizable,140,8,0,True,0
fuzz_rf3_linearizable_keys20_threads1.log,3,linearizable,20,1,0,True,0
fuzz_rf3_linearizable_keys20_threads128.log,3,linearizable,20,128,0,True,0
fuzz_rf3_linearizable_keys20_threads16.log,3,linearizable,20,16,0,True,0
fuzz_rf3_linearizable_keys20_threads2.log,3,linearizable,20,2,0,True,0
fuzz_rf3_linearizable_keys20_threads256.log,3,linearizable,20,256,0,True,0
fuzz_rf3_linearizable_keys20_threads32.log,3,linearizable,20,32,0,True,0
fuzz_rf3_linearizable_keys20_threads4.log,3,linearizable,20,4,0,True,0
fuzz_rf3_linearizable_keys20_threads64.log,3,linearizable,20,64,0,True,0
fuzz_rf3_linearizable_keys20_threads8.log,3,linearizable,20,8,0,True,0
fuzz_rf3_linearizable_keys60_threads1.log,3,linearizable,60,1,0,True,0
fuzz_rf3_linearizable_keys60_threads128.log,3,linearizable,60,128,0,True,0
fuzz_rf3_linearizable_keys60_threads16.log,3,linearizable,60,16,0,True,0
fuzz_rf3_linearizable_keys60_threads2.log,3,linearizable,60,2,0,True,0
fuzz_rf3_linearizable_keys60_threads256.log,3,linearizable,60,256,0,True,0
fuzz_rf3_linearizable_keys60_threads32.log,3,linearizable,60,32,0,True,0
fuzz_rf3_linearizable_keys60_threads4.log,3,linearizable,60,4,0,True,0
fuzz_rf3_linearizable_keys60_threads64.log,3,linearizable,60,64,0,True,0
fuzz_rf3_linearizable_keys60_threads8.log,3,linearizable,60,8,0,True,0
fuzz_rf3_none_keys100_threads1.log,3,none,100,1,0,False,11
fuzz_rf3_none_keys100_threads128.log,3,none,100,128,0,False,62894
fuzz_rf3_none_keys100_threads16.log,3,none,100,16,0,False,731
fuzz_rf3_none_keys100_threads2.log,3,none,100,2,0,False,28
fuzz_rf3_none_keys100_threads256.log,3,none,100,256,0,False,92468
fuzz_rf3_none_keys100_threads32.log,3,none,100,32,0,False,5763
fuzz_rf3_none_keys100_threads4.log,3,none,100,4,0,False,98
fuzz_rf3_none_keys100_threads64.log,3,none,100,64,0,False,20252
fuzz_rf3_none_keys100_threads8.log,3,none,100,8,0,False,246
fuzz_rf3_none_keys140_threads1.log,3,none,140,1,0,False,5
fuzz_rf3_none_keys140_threads128.log,3,none,140,128,0,False,46188
fuzz_rf3_none_keys140_threads16.log,3,none,140,16,0,False,1093
fuzz_rf3_none_keys140_threads2.log,3,none,140,2,0,False,18
fuzz_rf3_none_keys140_threads256.log,3,none,140,256,0,False,111073
fuzz_rf3_none_keys140_threads32.log,3,none,140,32,0,False,3219
fuzz_rf3_none_keys140_threads4.log,3,none,140,4,0,False,30
fuzz_rf3_none_keys140_threads64.log,3,none,140,64,0,False,14870
fuzz_rf3_none_keys140_threads8.log,3,none,140,8,0,False,203
fuzz_rf3_none_keys20_threads1.log,3,none,20,1,0,False,52
fuzz_rf3_none_keys20_threads128.log,3,none,20,128,33,False,61944
fuzz_rf3_none_keys20_threads16.log,3,none,20,16,0,False,2195
fuzz_rf3_none_keys20_threads2.log,3,none,20,2,0,False,120
fuzz_rf3_none_keys20_threads256.log,3,none,20,256,0,False,132624
fuzz_rf3_none_keys20_threads32.log,3,none,20,32,0,False,8726
fuzz_rf3_none_keys20_threads4.log,3,none,20,4,0,False,289
fuzz_rf3_none_keys20_threads64.log,3,none,20,64,0,False,31143
fuzz_rf3_none_keys20_threads8.log,3,none,20,8,0,False,674
fuzz_rf3_none_keys60_threads1.log,3,none,60,1,0,False,17
fuzz_rf3_none_keys60_threads128.log,3,none,60,128,0,False,48439
fuzz_rf3_none_keys60_threads16.log,3,none,60,16,0,False,804
fuzz_rf3_none_keys60_threads2.log,3,none,60,2,0,False,47
fuzz_rf3_none_keys60_threads256.log,3,none,60,256,0,False,78186
fuzz_rf3_none_keys60_threads32.log,3,none,60,32,0,False,5861
fuzz_rf3_none_keys60_threads4.log,3,none,60,4,0,False,92
fuzz_rf3_none_keys60_threads64.log,3,none,60,64,0,False,20162
fuzz_rf3_none_keys60_threads8.log,3,none,60,8,0,False,592
fuzz_rf3_strong_keys100_threads1.log,3,strong,100,1,0,True,0
fuzz_rf3_strong_keys100_threads128.log,3,strong,100,128,0,True,0
fuzz_rf3_strong_keys100_threads16.log,3,strong,100,16,0,True,0
fuzz_rf3_strong_keys100_threads2.log,3,strong,100,2,0,True,0
fuzz_rf3_strong_keys100_threads256.log,3,strong,100,256,0,True,0
fuzz_rf3_strong_keys100_threads32.log,3,strong,100,32,0,True,0
fuzz_rf3_strong_keys100_threads4.log,3,strong,100,4,0,True,0
fuzz_rf3_strong_keys100_threads64.log,3,strong,100,64,0,True,0
fuzz_rf3_strong_keys100_threads8.log,3,strong,100,8,0,True,0
fuzz_rf3_strong_keys140_threads1.log,3,strong,140,1,0,True,0
fuzz_rf3_strong_keys140_threads128.log,3,strong,140,128,0,True,0
fuzz_rf3_strong_keys140_threads16.log,3,strong,140,16,0,True,0
fuzz_rf3_strong_keys140_threads2.log,3,strong,140,2,0,True,0
fuzz_rf3_strong_keys140_threads256.log,3,strong,140,256,0,True,0
fuzz_rf3_strong_keys140_threads32.log,3,strong,140,32,0,True,0
fuzz_rf3_strong_keys140_threads4.log,3,strong,140,4,0,True,0
fuzz_rf3_strong_keys140_threads64.log,3,strong,140,64,0,True,0
fuzz_rf3_strong_keys140_threads8.log,3,strong,140,8,0,True,0
fuzz_rf3_strong_keys20_threads1.log,3,strong,20,1,0,True,0
