filename,replication_factor,consistency,workload,threads,overall_runtime_ms,overall_throughput_ops_sec,read_operations,read_averagelatency_us,read_minlatency_us,read_maxlatency_us,read_95thpercentilelatency_us,read_99thpercentilelatency_us,update_operations,update_averagelatency_us,update_minlatency_us,update_maxlatency_us,update_95thpercentilelatency_us,update_99thpercentilelatency_us,cleanup_operations,cleanup_averagelatency_us,cleanup_minlatency_us,cleanup_maxlatency_us,cleanup_95thpercentilelatency_us,cleanup_99thpercentilelatency_us,insert_operations,insert_averagelatency_us,insert_minlatency_us,insert_maxlatency_us,insert_95thpercentilelatency_us,insert_99thpercentilelatency_us,scan_operations,scan_averagelatency_us,scan_minlatency_us,scan_maxlatency_us,scan_95thpercentilelatency_us,scan_99thpercentilelatency_us,read_modify_write_operations,read_modify_write_averagelatency_us,read_modify_write_minlatency_us,read_modify_write_maxlatency_us,read_modify_write_95thpercentilelatency_us,read_modify_write_99thpercentilelatency_us
ycsb_rf1_linearizable_workloade_threads128.log,1,linearizable,e,128,1354.0,738.5524372230428,,,,,,,,,,,,,128.0,0.0234375,0.0,1.0,0.0,1.0,50.0,90345.88,1208.0,555007.0,536575.0,555007.0,950.0,117768.2852631579,2912.0,579583.0,545791.0,570879.0,,,,,,
ycsb_rf1_linearizable_workloade_threads16.log,1,linearizable,e,16,854.0,1170.96018735363,,,,,,,,,,,,,16.0,0.125,0.0,2.0,0.0,2.0,52.0,4457.461538461538,655.0,150911.0,3175.0,6399.0,948.0,9513.371308016878,550.0,187903.0,16159.0,178815.0,,,,,,
ycsb_rf1_linearizable_workloade_threads2.log,1,linearizable,e,2,1399.0,714.7962830593281,,,,,,,,,,,,,2.0,0.5,0.0,1.0,1.0,1.0,51.0,1302.764705882353,665.0,14279.0,1801.0,2193.0,949.0,2362.428872497366,401.0,90623.0,3993.0,6499.0,,,,,,
ycsb_rf1_linearizable_workloade_threads256.log,1,linearizable,e,256,1752.0,570.7762557077625,,,,,,,,,,,,,256.0,0.01171875,0.0,1.0,0.0,0.0,44.0,161861.27272727274,1615.0,747007.0,626175.0,747007.0,956.0,275019.179916318,11776.0,806911.0,756223.0,784383.0,,,,,,
ycsb_rf1_linearizable_workloade_threads32.log,1,linearizable,e,32,976.0,1024.5901639344263,,,,,,,,,,,,,32.0,0.09375,0.0,2.0,0.0,2.0,58.0,4163.620689655172,746.0,39455.0,18095.0,34399.0,942.0,21506.11146496815,538.0,265471.0,43135.0,255615.0,,,,,,
ycsb_rf1_linearizable_workloade_threads4.log,1,linearizable,e,4,1018.0,982.3182711198428,,,,,,,,,,,,,4.0,0.25,0.0,1.0,1.0,1.0,49.0,1511.7142857142858,643.0,17439.0,1595.0,17439.0,951.0,3121.398527865405,454.0,108159.0,4703.0,15559.0,,,,,,
ycsb_rf1_linearizable_workloade_threads64.log,1,linearizable,e,64,1110.0,900.9009009009009,,,,,,,,,,,,,64.0,0.0625,0.0,1.0,1.0,1.0,46.0,33603.434782608696,900.0,307199.0,296447.0,307199.0,954.0,45971.623689727465,1437.0,384511.0,279039.0,372479.0,,,,,,
ycsb_rf1_linearizable_workloade_threads8.log,1,linearizable,e,8,880.0,1136.3636363636363,,,,,,,,,,,,,8.0,0.125,0.0,1.0,1.0,1.0,41.0,1678.5365853658536,718.0,19887.0,1809.0,19887.0,959.0,5047.5380604796665,499.0,179583.0,7795.0,26351.0,,,,,,
ycsb_rf1_linearizable_workloadf_threads1.log,1,linearizable,f,1,1100.0,909.0909090909091,1000.0,591.142,256.0,82175.0,740.0,1522.0,499.0,546.1062124248497,347.0,2391.0,869.0,1367.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,499.0,995.7354709418838,639.0,5339.0,1558.0,2923.0
ycsb_rf1_linearizable_workloadf_threads128.log,1,linearizable,f,128,1032.0,968.9922480620155,1000.0,67649.921,485.0,339711.0,319487.0,330495.0,521.0,5943.404990403071,478.0,52991.0,31039.0,47871.0,128.0,0.0234375,0.0,2.0,0.0,1.0,,,,,,,,,,,,,521.0,76196.61612284069,1030.0,397567.0,377599.0,391679.0
